9: nome_desti, 4: nome_orige
9: Picos, 4: S?o Jo?o da Canabrava
9: Picos, 4: S?o Jos? do Piau?
9: Picos, 4: S?o Luis do Piau?
9: Picos, 4: Sussuapara
9: Picos, 4: Vera Mendes
9: Picos, 4: Vila Nova do Piau?
9: Picos, 4: Wall Ferraz
9: Piripiri, 4: Brasileira
9: Araguatins, 4: Praia Norte
9: Piripiri, 4: Capit?o de Campos
9: Piripiri, 4: Domingos Mour?o
9: Piripiri, 4: Lagoa de S?o Francisco
9: Piripiri, 4: Piracuruca
9: Piripiri, 4: S?o Jo?o da Fronteira
9: S?o Jo?o do Piau?, 4: Campo Alegre do Fidalgo
9: S?o Jo?o do Piau?, 4: Capit?o Gerv?sio Oliveira
9: S?o Jo?o do Piau?, 4: Jo?o Costa
9: S?o Jo?o do Piau?, 4: Lagoa do Barro do Piau?
9: S?o Jo?o do Piau?, 4: Pedro Laurentino
9: Araguatins, 4: Sampaio
9: S?o Jo?o do Piau?, 4: Nova Santa Rita
9: S?o Jo?o do Piau?, 4: Ribeira do Piau?
9: S?o Raimundo Nonato, 4: An?sio de Abreu
9: S?o Raimundo Nonato, 4: Bonfim do Piau?
9: S?o Raimundo Nonato, 4: Caracol
9: S?o Raimundo Nonato, 4: Coronel Jos? Dias
9: S?o Raimundo Nonato, 4: Dirceu Arcoverde
9: S?o Raimundo Nonato, 4: Dom Inoc?ncio
9: S?o Raimundo Nonato, 4: Fartura do Piau?
9: S?o Raimundo Nonato, 4: S?o Braz do Piau?
9: Araguatins, 4: S?o Sebasti?o do Tocantins
9: Currais Novos, 4: Bod?
9: S?o Raimundo Nonato, 4: S?o Louren?o do Piau?
9: S?o Raimundo Nonato, 4: V?rzea Branca
9: Sim?es, 4: Caridade do Piau?
9: Sim?es, 4: Curral Novo do Piau?
9: Simpl?cio Mendes, 4: Bela Vista do Piau?
9: Eirunep?, 4: Itamarati
9: Simpl?cio Mendes, 4: Campinas do Piau?
9: Simpl?cio Mendes, 4: Concei??o do Canind?
9: Simpl?cio Mendes, 4: Paes Landim
9: Simpl?cio Mendes, 4: S?o Francisco de Assis do  Piau?
9: Simpl?cio Mendes, 4: Socorro do Piau?
9: Colinas do Tocantins, 4: Bernardo Say?o
9: Uni?o, 4: Lagoa Alegre
9: Valen?a do Piau?, 4: Lagoa do S?tio
9: Valen?a do Piau?, 4: Novo Oriente do Piau?
9: Valen?a do Piau?, 4: Pimenteiras
9: Brejo Santo, 4: Jati
9: Brejo Santo, 4: Penaforte
9: Camocim, 4: Barroquinha
9: Camocim, 4: Chaval
9: Cruz, 4: Jijoca de Jericoacoara
9: Guaraciaba do Norte, 4: Croat?
9: Colinas do Tocantins, 4: Brasil?ndia do Tocantins
9: Ic?, 4: Baixio
9: Ic?, 4: Or?s
9: Ic?, 4: Umari
9: Ipu, 4: Pires Ferreira
9: S?o Benedito, 4: Carnaubal
9: Senador Pompeu, 4: Milh?
9: Caic?, 4: Cruzeta
9: Caic?, 4: Ipueira
9: Caic?, 4: Jardim de Piranhas
9: Caic?, 4: Jardim do Serid?
9: Fortaleza dos Nogueiras, 4: S?o Pedro dos Crentes
9: Colinas do Tocantins, 4: Couto de Magalh?es
9: Caic?, 4: Ouro Branco
9: Caic?, 4: Parelhas
9: Caic?, 4: S?o Fernando
9: Caic?, 4: S?o Jo?o do Sabugi
9: Caic?, 4: S?o Jos? do Serid?
9: Caic?, 4: Serra Negra do Norte
9: Caic?, 4: Timba?ba dos Batistas
9: Caic?, 4: S?o Bento
9: Caic?, 4: Cruzeta
9: Caic?, 4: Ipueira
9: Colinas do Tocantins, 4: Itacaj?
9: Caic?, 4: Jardim de Piranhas
9: Caic?, 4: Jardim do Serid?
9: Caic?, 4: S?o Jo?o do Sabugi
9: Caic?, 4: S?o Jos? do Serid?
9: Caic?, 4: Serra Negra do Norte
9: Caic?, 4: Timba?ba dos Batistas
9: Caic?, 4: S?o Bento
9: Colinas do Tocantins, 4: Itapiratins
9: Canguaretama, 4: Ba?a Formosa
9: Canguaretama, 4: Ba?a Formosa
9: Currais Novos, 4: Acari
9: Currais Novos, 4: Bod?
9: Currais Novos, 4: Carna?ba dos Dantas
9: Currais Novos, 4: Cerro Cor?
9: Currais Novos, 4: Flor?nia
9: Currais Novos, 4: Lagoa Nova
9: Currais Novos, 4: S?o Vicente
9: Currais Novos, 4: Tenente Laurentino Cruz
9: Colinas do Tocantins, 4: Juarina
9: Currais Novos, 4: Frei Martinho
9: Currais Novos, 4: Acari
9: Currais Novos, 4: Carna?ba dos Dantas
9: Currais Novos, 4: Cerro Cor?
9: Currais Novos, 4: Flor?nia
9: Currais Novos, 4: Lagoa Nova
9: Currais Novos, 4: S?o Vicente
9: Currais Novos, 4: Tenente Laurentino Cruz
9: Currais Novos, 4: Frei Martinho
